smiles,mp,db,db_index,train/test
NC1=NON=C1C(=O)N1CCOCC1,410.15,Enamine,15191,True
OC(=O)CCC1=CC=C(Cl)C(Cl)=C1,371.15,OCHEM,3810,True
CCCCCCCCCCCCCCCCC(C)C,288.15,OCHEM,16712,True
CC(=NNC(N)=O)C(=O)NC1=CC=C(Br)C=C1,517.15,OCHEM,12171,True
CC(C)N(C(C)C)S(=O)(=O)C1=CN=C(NN)C=C1,433.15,Enamine,3122,False
ClC1=CC2=C(OC3=C(O2)C=CC=C3)C=C1Cl,436.15,OCHEM,11294,True
N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2,384.15,OCHEM,15130,True
NC1=CC(F)=C(F)C=C1,294.15,OCHEM,19642,True
NC1=NC(N)=C(N=O)C(N)=N1,573.15,OCHEM,4232,False
COCCNS(=O)(=O)C1=C(OC)C=CC(=C1)C(O)=O,457.15,Enamine,4170,True
CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,374.15,OCHEM,21611,True
CCCCC1(CC)C(=O)NC(=O)NC1=O,400.15,Bradley,2446,True
NS(=O)(=O)C1=C(F)C=CC(F)=C1,414.15,OCHEM,18924,True
CC(C)CCS(=O)(=O)CC(O)=O,335.15,Enamine,12355,True
CC(C)(C)OC(=O)N1CCC(CC1)(OCC(F)(F)F)C(O)=O,533.15,Enamine,14477,True
OC1=CC=C2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](OC1=C24)C(=C)CC[C@@]35O,462.15,OCHEM,11532,True
NC1=CC=C(NC2=CC=CC=C2)C=C1,347.15,OCHEM,21481,True
FC1=CC(F)=C(F)C=C1F,277.4,Bradley,668,True
ClC1=C(C2=NON=C2C=C1)S(Cl)(=O)=O,347.15,OCHEM,2301,True
CC1=C(OCC(O)=O)C(Cl)=CC=C1,373.15,Enamine,20176,False
CCOC(=O)C1=C(Cl)N=C2C=CC=CC2=C1C,383.15,Enamine,3128,True
COC1=C(C)C2=CC=CC=C2C=C1,399.15,OCHEM,12472,True
CCS(=O)(=O)NC1=CC=C(N)C=C1,362.15,Enamine,13321,False
CNCC(O)C1=CC(O)=CC=C1,443.65,OCHEM,17283,True
COC1=C(N)C=C(C=C1)C(=O)NC1=NC(C)=CS1,438.15,Enamine,11917,True
CC1=C(N)C=C(C=C1)S(=O)(=O)NC1=CC(Cl)=CC=C1,384.15,Enamine,790,False
CC(C)CC1CCCCC1,178.15,OCHEM,9926,True
OC(=O)COC1=CC=C(Cl)C(Cl)=C1,412.15,OCHEM,8969,True
C1CC2=CC=CC=C2NC2=CC=CC=C12,380.15,Bradley,476,True
NCCC1=CC=C(C=C1)S(N)(=O)=O,424.15,OCHEM,20037,True
CC(C)(C)CNC(=O)C1=NC=C(C=C1)C(O)=O,513.15,Enamine,20616,False
CCCCCN1C(O)=NN=C1S,421.15,OCHEM,5180,True
OC(=O)CC1=CC2=C(NC1=O)C=CC=C2,552.15,Enamine,11763,True
CC(C)(C(O)=O)C1=CC=C(C=C1)[N+]([O-])=O,403.15,Enamine,20429,False
NC1=C(Cl)C=C(C=C1Cl)S(N)(=O)=O,480.15,OCHEM,19702,True
OC(=O)C1=C(NC(=O)OCC2=CC=CC=C2)C=CC=C1,403.15,Enamine,3704,True
COCCCN1C=NN=C1S,435.15,Enamine,2368,True
NC1=CN=C(C=C1)C(O)=O,491.15,OCHEM,20688,True
CN1N=CC2=C1N=CN=C2Cl,371.65,OCHEM,3453,True
CC(O)C1=NC2=C(C=CC=C2)N1C,385.15,Enamine,15426,True
OC(=O)C1=CC2=C(OC1)C=CC(Cl)=C2,518.15,OCHEM,2491,True
ClC1CC2=CC3=C(OCO3)C=C12,328.15,OCHEM,17128,True
C=COC=C,172.15,OCHEM,7906,True
NC(=O)C1CCCO1,350.15,Enamine,19780,True
O=CC(C=O)C1=NC=CN=C1,477.15,OCHEM,4548,True
FC(F)(F)C1=NC(=NC(=N1)C(F)(F)F)C(F)(F)F,248.35,OCHEM,306,True
CC1=NC2=C(C=NN2C=C1)C(O)=O,530.15,Enamine,17366,True
CC(C)(C)OC(=O)N1CCN(CC1)C1=NC=C(I)C=C1,377.15,OCHEM,4881,True
BrC1=CC2=C(C=C1)N=CS2,326.65,OCHEM,1737,True
CCOC1=CC=C(C=C1)N(C)S(=O)(=O)C1=CC(C(O)=O)=C(C)C=C1,449.15,Enamine,206,True
CC1=CC=C(C)N1C1=CC=CC=C1,322.95,Bradley,584,True
NNC1=NC2=CC=C(Cl)C=C2S1,537.15,OCHEM,5930,True
CN(C)C1=NC(C)=C(S1)C=O,390.15,Enamine,16671,False
COC1=C(OC)C=C2C(CCO)NCCC2=C1,378.15,OCHEM,1427,True
CCOC1=CC=C(C=C1)C1=NN=C2SC(NN12)C=CC1=CC=CC=C1,500.15,OCHEM,14723,True
COC1=CC(C2=NN=C(N)O2)=C(Br)C=C1,463.15,Enamine,17565,True
CC(C)C#C,183.35,Bradley,222,False
CC(=O)N1CCC(CC1)(C(O)=O)C1=CC=CC=C1,481.15,Enamine,9226,True
O=CC1=CC=C(C=C1)C1=NC=CC=N1,381.15,OCHEM,3473,True
CCOC(=O)C1C(C(C(=O)OCC)C(O)(NC1(O)C(F)(F)F)C(F)(F)F)C1=CC=C(OC)C=C1,382.15,OCHEM,15880,True
CC1=CC=C(C)C(C=C)=C1,238.15,OCHEM,10050,True
ON=C(Cl)C1=CC=C(Cl)C=C1Cl,367.15,OCHEM,6070,True
NC(=O)C1=C(Cl)N=NC(Cl)=C1,450.15,Enamine,18664,True
CCC(=O)C1=CC=C(O)C=C1O,372.65,Bradley,1130,True
CC1=CSC(SC2=C(Cl)C=C(N)C=C2)=N1,386.15,Enamine,16892,True
COC1=C(C=C(/C(O)=O)C2=CC=CC=C2)C=CC=C1,431.15,OCHEM,11235,True
ClCC(=O)C1=CC=C(C=C1)C(=O)CCl,426.15,OCHEM,12552,True
OC(=O)C1CC1C(=O)N1CCN(CC1)C1=CC=CC=C1,429.15,Enamine,15790,False
OC(=O)C1=C(C=CC=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N=C1/NC=CS1,546.15,OCHEM,7516,True
CC(=CC1=CC(Cl)=CC=C1)C(O)=O,373.15,Enamine,6032,True
CC1=C(F)C=CC(=C1)S(=O)(=O)NC1=C(C=CC=C1)C(O)=O,339.65,Enamine,230,True
ClC1=C2C(SC=C2C2=CC=CC=C2)=NC(=N1)C1CC1,351.15,Enamine,15777,True
CC1=CC(NC(=O)C2=NC=C(N=C2)C(C)(C)C)=CC=C1,368.15,OCHEM,17720,True
ClC1=C(Cl)C=C(C=C1)C1=CSC(CC#N)=N1,379.15,OCHEM,5144,False
O=CC1=CC=C(OCC2=NC=CC=C2)C=C1,362.15,Enamine,12109,True
ClC1=CC=CC(OCC#N)=C1,302.15,OCHEM,19898,True
CC(=O)NC1=CC=C(Br)C=C1C,435.15,OCHEM,1246,True
NC(=S)C1=CC=CN=C1,461.15,OCHEM,912,True
NC(=S)NC1=C2CCCCC2=CC=C1,439.15,Enamine,22289,True
O=C1NN=NN1C1=CC=CS1,425.15,Enamine,8693,False
NC1=CC(=CC=C1)S(=O)(=O)NC1=CC(=CC=C1)C(F)(F)F,372.15,Enamine,770,True
CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,379.15,Bradley,2080,True
OC1=CC=C(Cl)C=C1,315.65,Bradley,2462,True
N#CC1=C(C=NC=C1)C#N,353.15,OCHEM,9898,True
CC1(NC(=O)NC1=O)C1=C(Br)C=CC=C1,493.15,Enamine,9149,True
CCC1=CC2=C(S1)N=CN(N)C2=O,411.15,Enamine,1243,True
CC1=C(C)N(CC(O)=O)C(=O)S1,460.15,Enamine,14266,True
NC1=C(C=CC=C1)N1CCOC1=O,362.15,Enamine,16559,False
C(C1CO1)N1C2=CC=CC=C2C2=C1C=CC=C2,384.15,OCHEM,6374,True
OC(=O)C1=C(NC(=O)C2=CC=C(OC3=CC=CC=C3)C=C2)C=CC=C1,463.15,Enamine,19881,True
C#CC1=CC=C2C=CC3=C4C(C=CC1=C24)=CC=C3,387.15,OCHEM,18611,True
CCN(CC)C1=CC(O)=CC=C1,351.15,OCHEM,7605,True
COC(=O)CC(=O)C1=CC=CN=C1,311.15,OCHEM,4553,True
CC1=C(Cl)C(=CC(=C1)C(O)=O)S(Cl)(=O)=O,483.15,Enamine,5683,True
NC1=CC=CC=C1CN1CCOCC1,343.65,OCHEM,5402,True
COC1=C(OCC2=CN=CC=C2)C=CC(=C1)C(O)=O,453.15,Enamine,10654,True
NC1=NN=C(N1)C1CC1,402.15,OCHEM,3928,True
NS(=O)(=O)C1=CNC=N1,506.15,Enamine,19517,True
CC(C)(C)CC(C)(C)N,206.15,OCHEM,540,True
NC(=S)C1=C(N)C=CC(=C1)[N+]([O-])=O,445.15,Enamine,7515,True
OC(=O)CCP(O)(O)=O,439.15,OCHEM,6992,True
CC(C)C(NC(=O)C1=CC=C(C)C=C1)C(O)=O,429.15,Enamine,110,True
C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,365.35,Bradley,1618,True
CC1=CC=C(S1)S(=O)(=O)NCCN,368.15,Enamine,5204,True
[O-][N+](=O)C1=C2OCCC(=O)C2=CC(Br)=C1,378.15,Enamine,4668,True
OC(=O)CCC1=CC=C(O1)C1=C(F)C=CC=C1,391.15,Enamine,8839,True
COC1=C(OCC(O)=O)C=CC(=C1)C#N,428.15,Enamine,9552,True
CN1C2=CC=CC=C2C(C)(C)C11OC2=C(C=C1)C=C(C=C2)[N+]([O-])=O,453.15,OCHEM,9850,True
CC1=C(OC2=C1C(=O)CCC2)C(O)=O,501.15,Enamine,11697,True
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC=C1)C(O)=O,457.15,Enamine,260,False
NC1=C(Br)C=C(C=C1)C(F)(F)F,302.65,OCHEM,19134,True
CC(NC(=O)C(C)NC(=O)C(C)NC(C)=O)C(O)=O,521.15,OCHEM,1128,False
[O-][N+](=O)C1=CC2=C(CCCC2)N=C1,345.15,Enamine,21016,True
CC(C)(C)C1=CN=C(S)O1,405.15,Enamine,4689,True
CCCOC1=CC(=CC=C1)C(O)=O,347.15,Enamine,12838,True
CCOC(=O)CC1=C(C)N=C(O)N=C1C,409.15,Enamine,8721,True
OC(=O)C#CC1=C(F)C=C(F)C=C1,444.15,Enamine,8050,True
OC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O,389.15,OCHEM,7208,True
OC(=O)C(=CC1=CC(Cl)=CC=C1)C1=CC=CS1,466.15,Enamine,7758,True
NC1=C(C=C(Br)C=C1)C(O)=O,493.15,OCHEM,351,True
CC1(NC(=O)NC1=O)C1=CC=C(Br)S1,458.15,Enamine,17195,True
NC(=O)OCCCC1=CC=CC=C1,375.15,OCHEM,9396,True
COC(=O)C1CC(O)CN1C(=O)OC(C)(C)C,366.65,OCHEM,2580,False
CCCCCCCCCCCCN,301.45,OCHEM,8098,True
CCN(CC)C(=O)C1CN(C)C2CC3=C(Br)NC4=CC=CC(=C34)C2=C1,397.15,OCHEM,8493,True
NNC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O,470.65,OCHEM,18124,True
O=C1NC(=O)C2=C1C=CN=C2,507.15,Enamine,19418,True
CCOC(=O)C1=C(NC(=O)C(Cl)Cl)SC=C1C1=CC=CC=C1,365.65,OCHEM,14483,True
CCOC1=C(CN2CCCC2)C=C(N)C=C1,332.15,Enamine,5972,False
OCC1=C(O)C=CC(Br)=C1,384.15,Bradley,2625,True
CC(O)C(NS(=O)(=O)C1=CC=C(Cl)C=C1)C(O)=O,453.15,Enamine,1388,True
OC1=NC(=NC(=C1)C(F)(F)F)C1=CN=CC=C1,551.15,Enamine,18063,True
CC1CC(=N/NC(N)=O)C2=CC(C)=CC=C12,500.15,OCHEM,13055,True
OC(=O)C1(CCCC1)C1=CC=C(Br)C=C1,450.15,Enamine,10417,False
NC1(CCOCC1)C1=CC=C(Br)C=C1,359.15,Enamine,13836,True
O=C=NC1=CC2=CC=CC=C2C=C1,327.65,OCHEM,19488,True
CCS(=O)(=O)CCOC1=CC=C(C=C1)S(Cl)(=O)=O,366.15,Enamine,15709,True
COC1=CC2=C(CC3=CC(OC)=C(OC)C=C3CC3=CC(OC)=C(OC)C=C3C2)C=C1OC,498.15,OCHEM,6677,True
NC(=O)CC1=CC=CS1,420.15,OCHEM,16767,True
COC1=C(C=C(Br)C=C1)C(=O)C(O)=O,411.15,Enamine,18233,True
CC1=C(CCNC(=O)CCl)C=CC=C1,342.15,Enamine,9424,True
O=C(NC1=CC2=NN(N=C2C=C1)C1CCCCC1)C1=CC=C(C=C1)N(=O)=O,509.15,OCHEM,12042,True
ClC1=CC=C(O1)C=O,308.15,OCHEM,16944,True
CC1=CC(F)=C(F)C=C1N,330.15,OCHEM,20157,False
CC1=NC(Cl)=C(C(N)=O)C(C)=C1,446.15,Enamine,7185,True
CC(O)C1=CC=CC(N)=C1,341.15,OCHEM,16609,True
CCOC(=O)C1=C(N)SC(CC)=C1,343.15,Enamine,1023,True
NC1=C(Cl)C(=CC(=C1)C#N)[N+]([O-])=O,479.15,Enamine,4346,True
FC1=C(Cl)C=CC(CBr)=C1,305.15,OCHEM,15712,False
COC1=CC(OC)=C(C=O)C=C1OC,387.15,Bradley,1305,True
CC1=C(C)C2=C(NC(CCC(O)=O)=NC2=O)S1,523.15,Enamine,14899,True
NC(=O)C1=NC2=C(C=CC=C2)N=C1,468.15,OCHEM,14285,True
NC1CCCC2=C1SC(=N2)C1=CC=C(F)C=C1,328.15,Enamine,17938,True
COC(OC)(OC)C1=CC2=C(C=CC=C2)C(=O)N1,405.15,Enamine,8259,True
CCOC(=O)C1=C(N)C2=CC(C(=O)OCC)=C(N=C2S1)C(F)(F)F,455.15,OCHEM,3745,True
COC(=O)C=C(/C)OP(=O)(OC)OC,294.15,OCHEM,8296,True
CSC1=NC=C(C#N)C(N)=N1,514.65,OCHEM,20201,True
CN(C)S(=O)(=O)C1=CC(C(O)=O)=C(Br)C=C1,448.15,Enamine,4653,True
O=C1CC(C(=O)O1)C1=CC=CC=C1,326.15,Enamine,9253,True
CN1C2=C(C=CC=C2)N=C1C(=NNC1=CC=C(Cl)C=C1)C#N,488.15,OCHEM,13472,True
COC(=O)C1=CC(OC)=C(C)C(OC)=C1,377.15,OCHEM,12232,True
CC(C)(O)C1=CN=C(Cl)N=C1,372.15,Enamine,5795,True
O=C(OCC(COC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)C1=CC=CC=C1,349.15,OCHEM,9134,True
CCOC1=CC=C(C=CC(O)=O)C=C1,469.15,OCHEM,5327,True
C(P(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,369.15,OCHEM,21565,True
CSC(SC)=C(C#N)C(=O)NCC1=CC=CC=C1,354.15,OCHEM,15206,True
OC(=O)C1=CC2=C(C=C1)C(=O)N(C1CCS(=O)(=O)C1)C2=O,513.15,Enamine,3475,True
CC1=CC(Br)=C(Br)C=C1Br,386.65,OCHEM,18814,True
CCOC1=C2OCC(=CC2=CC=C1)C(O)=O,493.15,Enamine,12287,True
NC1=NC(C2CC2)=C(S1)C(O)=O,373.15,Enamine,6022,True
NC(=S)C1=NC=C(N)S1,465.15,Enamine,6517,True
CC(C)(C)NC1=C(C=C(C=C1)C(O)=O)S(=O)(=O)NC(C)(C)C,517.15,Enamine,3796,True
CC1=C(N=C(N)S1)C1=C(C)C=CC(C)=C1,366.15,Enamine,2701,True
O[Si](O)(C1=CC=CC=C1)C1=CC=CC=C1,474.65,OCHEM,18249,False
CCC(=O)C1=C(C)N(CCS(C)(=O)=O)N=C1C,428.15,Enamine,7486,True
CCC1=C(CO)C2=C(C3=CC=CC=C3N2)C(=C1)C(F)(F)F,425.15,OCHEM,12839,True
COC1=C(C=C(C=C1)C(O)=O)S(Cl)(=O)=O,427.15,Enamine,2581,True
OC(=O)CS(=O)(=O)C=CC1=CC=CC=C1,425.15,OCHEM,5112,True
ClC1=CC=C(OCC(=O)NC2=NC3=C(S2)C=CC=C3)C=C1,412.15,OCHEM,18110,True
NNC(=O)C(O)C1=CC=CC=C1,402.65,OCHEM,21254,True
ClC1=CC(Cl)=C(NN=C(C#N)C2=NC3=C(S2)C=CC=C3)C=C1Cl,487.15,OCHEM,15778,True
NCP(O)(O)=O,573.15,OCHEM,6652,True
CC(C)(C)NC(=O)C1CC2CCCCC2CN1,389.15,OCHEM,1376,False
[O-][N+](=O)C1=C2CNCCC2=C(Br)C=C1,355.15,Enamine,16531,True
ClC1=CC(Cl)=C(CC#N)C=C1,334.65,OCHEM,4174,True
NC1=CC(=O)NN1,478.15,Enamine,11062,True
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,223.15,OCHEM,5451,True
NC1=NC(=CS1)C1=CC2=C(OCO2)C=C1,451.15,Enamine,842,True
ClC1=CC=C(C=C1)N1C=CC=C1,362.65,OCHEM,761,False
CCCCN1C(=O)CC(=O)N(CCCC)C1=S,335.15,OCHEM,18501,True
COC(=O)C1=CC=C(OC)C=C1,322.65,Bradley,1378,True
NC(=O)C1=C(F)C(F)=C(N)C(F)=C1F,458.15,OCHEM,921,True
CC1=CC=C(C=C1)N=C=S,298.35,Bradley,504,True
CC1=CC(=CC(C)=C1O)C(C)(C)C,355.55,OCHEM,9567,True
OC(=O)C1=CC=C(C=C1)S(=O)(=O)C(F)(F)F,518.15,Enamine,10790,True
ClC1=NC=NC2=C1C1=C(CCC1)S2,382.15,OCHEM,2879,False
NC(=O)NC(=O)CCCl,445.15,Enamine,9719,True
CC(Cl)C(=O)NNC(C)=O,430.15,Enamine,7509,True
CC1=CC=C(C=C1)C(N)=O,434.15,Bradley,2680,True
CCOC(=O)C1=C(N)N(C)N=C1,375.15,OCHEM,1628,True
NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)S(N)(=O)=O,410.15,OCHEM,8850,True
CC1=C(C=NO1)C(=O)NC1=CC(=C(N)C=C1)C(F)(F)F,470.15,Enamine,13795,True
CC(C)C(Cl)C(O)=O,307.15,Enamine,13468,True
OC(=O)CNC(=O)C1=CC=C(C=C1)C#N,467.15,Enamine,17146,True
OC1=CC=CC(O)=C1[N+]([O-])=O,355.65,Bradley,942,True
CC(=O)C1=C(O)C(C)=C(OCC=C)C(CC2=CC(C(C)=O)=C(O)C(C)=C2OCC=C)=C1,416.15,OCHEM,12324,True
CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)CCl,358.15,OCHEM,11662,True
ClCC(=O)NCCOC1=CC2=C(OCO2)C=C1,349.15,Enamine,13433,True
FC(F)(F)C1=CC(=CC(=C1)C#N)C(F)(F)F,291.15,OCHEM,19669,True
CC(C)C1=CC=C(CCC(N)=O)C=C1,416.15,Enamine,19756,True
OC(=O)C1=CC2=C(C=CC=C2)C(=O)N1,592.15,Enamine,6634,True
CC1=CC=C(C=C1C#N)[N+]([O-])=O,379.15,OCHEM,19470,True
CC1=NC(=CS1)C1=CC=C(C=C1)C(Cl)=O,394.15,OCHEM,5197,True
CC1=C(CC2=CC=CC=C2)C(C)=NN1,392.15,OCHEM,18074,True
CNC1CCC(CC1)NC(=O)OC(C)(C)C,346.15,Enamine,22002,True
CCCCCCCCCCC,247.35,Bradley,323,True
BrC1=CN2C=CN=C2C(Br)=N1,426.15,Enamine,3349,True
OC1=C(Br)C=C(C=O)C=C1Br,455.15,Bradley,1004,True
ClC1=NC=C(C=O)C=N1,392.15,Enamine,4044,True
CC(C)C1=NC(=NN1C1=C(Cl)C=CC=C1Cl)C(O)=O,453.15,Enamine,17613,True
C1CCCCCC=CCCCC1,264.15,OCHEM,473,True
CC(NC1=C(C)C=C(C=C1)C(O)=O)C1=C(C)C=CC(C)=C1,485.15,Enamine,20487,True
CN1C=C(CCC(O)=O)C2=C1C=CC=C2,397.15,Enamine,4107,True
N#CC1=CC=C(CN2C=CC=N2)C=C1,354.15,OCHEM,5432,False
CC(=O)C1=CC=C(NC(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,497.15,OCHEM,12361,True
CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C,329.65,OCHEM,10933,True
ClC1=CC=C(C=C1)C1=NC(=CS1)S(Cl)(=O)=O,367.15,Enamine,18299,True
OC(=O)CCCN1C(=O)OC2=C1C=CC=C2,415.15,Enamine,2909,True
NC1=C2CCCCC2=CC=C1,311.15,OCHEM,10140,True
COC1=CC=C(C=C1Br)C#N,395.15,OCHEM,19831,True
O=C(OC1=CC=CC=C1)C1=CC=CC=C1C(=O)OC1=CC=CC=C1,347.15,Bradley,1768,True
CNCC1=CC(O)=C(OC)C=C1,415.15,Enamine,14122,True
CC1=C(C=CC(N)=C1)N1CCCC1=O,433.15,Enamine,10021,True
OC(=O)C1=C(O)C=C(NS(=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O)C=C1,516.15,Enamine,141,True
COC(=O)C1=C(F)C=CC=N1,355.15,Enamine,4514,True
BrC1=C2C=CC(C=O)=CC2=CC=C1,351.15,OCHEM,12915,True
CC(C)C1=C(OC(C)C(O)=O)C=C(C)C=C1,335.15,Enamine,13211,True
NC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1,423.15,Enamine,10935,True
CCC1=NN=C(O1)C1=CC=C(N)C=C1,411.15,Enamine,21717,True
COC1=CC(C2=CC(=NO2)C(O)=O)=C(OC)C=C1,466.15,Enamine,15887,True
CN1N=C(C)C(Br)=C1NC(=O)CCl,425.15,OCHEM,3584,True
CNC1=C(N=CC=C1)N1CCCC1,379.15,Enamine,3156,True
OC(=O)CNC(=O)CC1CCCC1,372.15,Enamine,16523,True
CN(C)C1=CC=C(C=C2C(=O)NC(=O)NC2=O)C=C1,518.15,OCHEM,13975,True
NC(=O)CNS(=O)(=O)C1=CNC(=C1)C(O)=O,513.15,Enamine,20794,True
OC1=CC=C(C=C1)C1=CC=C(O)C=C1,553.15,Bradley,2846,True
O=C(CC1CCCCC1)NC1=C2CCCNC2=CC=C1,466.15,Enamine,18794,True
CC(N)C1=CC=C(NC(=O)NC2CC2)C=C1,416.15,Enamine,12478,True
NC1=CC=C(C=C1)C(F)(F)F,311.15,OCHEM,8425,True
CC(=O)NC1=CC=C(SCC(O)=O)C=C1,430.15,Enamine,2407,True
CC1=CC(Cl)=CC(Cl)=C1C#N,353.15,OCHEM,18860,True
OC(=O)C12CCC(=O)N1C1=C(C=CC=C1)C(=O)N2C1CC1,290.15,Enamine,8194,True
[O-][N+](=O)C1=CC=CC2=C1NC=C2,369.65,OCHEM,827,True
CC1=C(C=C(C(F)=C1)S(Cl)(=O)=O)[N+]([O-])=O,338.15,Enamine,19666,False
